method,dataset,tuning,times,NDKL,rbo,wig_rbo,fairness
COMBmnz,IBMHR,0.5,0.15563159,0.203553169,0.823112105,1,PROPORTIONAL
RAPF,IBMHR,0.5,9.492537546,0.039812184,0.757815161,0.820094913,PROPORTIONAL
EPIRA,IBMHR,0.9,226.0948313,0.112029307,0.822767916,0.90802047,PROPORTIONAL
WISE,IBMHR,0.9,19.50979285,0.038582523,0.782240533,0.987265926,PROPORTIONAL
PRE-EG,IBMHR,0.6,0.325273275,0.203553169,0.823112105,1,PROPORTIONAL
POST-EG,IBMHR,0.6,0.201847553,0.057930441,0.61507172,0.624294285,PROPORTIONAL
PRE-FQ,IBMHR,0.05,1114.646486,0.203553169,0.823112105,1,PROPORTIONAL
POST-FQ,IBMHR,0.05,282.1564002,0.205158902,0.822680454,0.955716295,PROPORTIONAL
