method,dataset,tuning,times,NDKL,rbo,wig_rbo,fairness
COMBmnz,Econ-Freedom,0.5,0.031495857,0.711077921,0.725823353,1,EQUAL
RAPF,Econ-Freedom,0.5,0.067805386,0.37064817,0.606730306,0.706188668,EQUAL
WISE,Econ-Freedom,0.9,0.244373274,0.227497789,0.596098683,0.947667457,EQUAL
PRE-EG,Econ-Freedom,0.6,0.0695755,0.711077921,0.725823353,1,EQUAL
POST-EG,Econ-Freedom,0.6,0.043001032,0.446629146,0.487950195,0.64563537,EQUAL
PRE-FQ,Econ-Freedom,0.05,40.59520421,0.711077921,0.725823353,1,EQUAL
POST-FQ,Econ-Freedom,0.05,5.987685299,0.456616846,0.542774783,1,EQUAL
