method,dataset,tuning,times,NDKL,rbo,wig_rbo,fairness
BORDA,World Happiness,0.5,0.004996872,0.420829471,0.757090432,1,PROPORTIONAL
RAPF,World Happiness,0.5,0.042500162,0.15250403,0.557259215,0.694264089,PROPORTIONAL
WISE,World Happiness,0.9,0.312573385,0.160972206,0.551643739,0.980917948,PROPORTIONAL
PRE-EG,World Happiness,0.6,0.048513603,0.402745609,0.637942962,0.791806667,PROPORTIONAL
POST-EG,World Happiness,0.6,0.011513662,0.161406654,0.491974039,0.59640807,PROPORTIONAL
PRE-FQ,World Happiness,0.05,77.75138774,0.157768867,0.473432521,0.895317906,PROPORTIONAL
POST-FQ,World Happiness,0.05,8.727079391,0.289248294,0.49759362,0.999749687,PROPORTIONAL
