method,dataset,tuning,times,NDKL,rbo,wig_rbo,fairness
BORDA,Adult,0.5,0.055012703,1.225439219,0.661457162,1,EQUAL
WISE,Adult,0.9,2533.452321,0.776271667,0.62783433,0.971186009,EQUAL
RAPF,Adult,0.5,3886.101788,1.207857286,0.640864735,0.652849529,EQUAL
EPIRA,Adult,0.9,37539.84015,1.226801183,0.669473969,0.922597417,EQUAL
PRE-EG,Adult,0.6,8.110355377,1.197118604,0.55906617,0.605781087,EQUAL
POST-EG,Adult,0.6,2.054471016,1.233600833,0.555219243,0.648279625,EQUAL
POST-FQ,Adult,0.05,40086.4454,1.225442745,0.661459299,0.999975025,EQUAL
PRE-FQ,Adult,0.05,161013.5319,1.238285333,0.551855061,0.542538462,EQUAL
